SMILES,LD50_mg_kg_oral,species,source
O,90000,rat,CompTox
C1=CC=CC=C1,930,rat,CompTox
CC1=CC=CC=C1,5580,rat,CompTox
NC1=CC=CC=C1,440,rat,CompTox
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,30,rat,CompTox
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,140,rat,CompTox
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,5400,rat,CompTox
CNC(=O)OC1=C2C=CC=CC2=CC=C1,500,rat,CompTox
CC(=O)OC1=C(C=CC=C1)C(O)=O,1500,rat,CompTox
[Na+].[Cl-],3000,rat,CompTox
CCO,7060,rat,CompTox
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,2000,rat,CompTox
[Tl+].[Tl+].[O-]S([O-])(=O)=O,8,rat,CompTox
CCCCC(CC)CO,2000,rat,CompTox
C(CBr)Br,117,rat,CompTox
OC1=CC=CC=C1,317,rat,CompTox
[Na+].[C-]#N,8,rat,CompTox
[Cl-].[Cl-].[Hg++],41,rat,CompTox
[O-][As]([O-])[O-],20,rat,CompTox
[F-].[Na+],52,rat,CompTox
ClC(Cl)Cl,908,rat,CompTox
ClC(Cl)(Cl)Cl,2350,rat,CompTox
CO,5628,rat,CompTox
C=O,100,rat,CompTox
CC(C)=O,5800,rat,CompTox
OO,2000,rat,CompTox
OC(=O)CNCP(O)(O)=O,5000,rat,CompTox
CN1CCCC1C1=CN=CC=C1,50,rat,CompTox
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,367,rat,CompTox
CCNC1=NC(NC(C)C)=NC(Cl)=N1,3090,rat,CompTox
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,88,rat,CompTox
ClCC=C,450,rat,CompTox
ClCCl,1200,rat,CompTox
OCCO,4000,rat,CompTox
NC1=CC=C(C=C1)C1=CC=C(N)C=C1,309,rat,CompTox
C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,700,rat,CompTox
C1=CC=C2C(=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34,50,rat,CompTox
ClC(Cl)=O,5580,rat,CompTox
C=CC=O,46,rat,CompTox
[Na+].[N-]=[N+]=[N-],27,rat,CompTox
ClC(Cl)=C(Cl)Cl,3420,rat,CompTox
OC(=O)C1=CC=CC=C1,1700,rat,CompTox
NC(N)=O,8500,rat,CompTox
[K+].[C-]#N,7,rat,CompTox
C[N+]1=CC=C(C=C1)C1=CC=[N+](C)C=C1,57,rat,CompTox
[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=C(C=CC=C7)[C@@]1(CCN2C4)[C@]6([H])[C@@]35[H],16,rat,CompTox
OC1=NC(O)=NC(O)=N1,7700,rat,CompTox
COP(=O)(OC)OC=C(Cl)Cl,107,rat,CompTox
CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,102,rat,CompTox
CC(C)O,5000,rat,CompTox
